"1-1000703","21-1000703"
"1-1000704","21-1000704"
"1-1000705","21-1000705"
"1-1000706","21-1000706"
"1-1000707","21-1000707"
"1-1000708","21-1000708"
"1-1000709","21-1000709"
"1-1000710","21-1000710"
"1-1000711","21-1000711"
"1-1000712","21-1000712"
"1-1000713","21-1000713"
"1-1000714","21-1000714"
"1-1000715","21-1000715"
"1-1000716","21-1000716"
"1-1000717","21-1000717"
"1-1000718","21-1000718"
"1-1000719","21-1000719"
"1-1000720","21-1000720"
"1-1000721","21-1000721"
"1-1000722","21-1000722"
"1-1000723","21-1000723"
"1-1000724","21-1000724"
"1-1000725","21-1000725"
"1-1000726","21-1000726"
"1-1000727","21-1000727"
"1-1000728","21-1000728"
"1-1000729","21-1000729"
"1-1000730","21-1000730"
"1-1000731","21-1000731"
"1-1000732","21-1000732"
"1-1000733","21-1000733"
"1-1000734","21-1000734"
"1-1000735","21-1000735"
"1-1000736","21-1000736"
"1-1000737","21-1000737"
"1-1000738","21-1000738"
"1-1000739","21-1000739"
"1-1000740","21-1000740"
"1-1000741","21-1000741"
"1-1000742","21-1000742"
"1-1000743","21-1000743"
"1-1000744","21-1000744"
"1-1000745","21-1000745"
"1-1000746","21-1000746"
"1-1000747","21-1000747"
"1-1000748","21-1000748"
"1-1000749","21-1000749"
"1-1000750","21-1000750"
"1-1000751","21-1000751"
"1-1000752","21-1000752"
"1-1000753","21-1000753"
"1-1000754","21-1000754"
"1-1000755","21-1000755"
"1-1000756","21-1000756"
"1-1000757","21-1000757"
"1-1000758","21-1000758"
"1-1000759","21-1000759"
"1-1000760","21-1000760"
"1-1000761","21-1000761"
"1-1000762","21-1000762"
"1-1000763","21-1000763"
"1-1000764","21-1000764"
"1-1000765","21-1000765"
"1-1000766","21-1000766"
"1-1000767","21-1000767"
"1-1000768","21-1000768"
"1-1000769","21-1000769"
"1-1000770","21-1000770"
"1-1000771","21-1000771"
"1-1000772","21-1000772"
"1-1000773","21-1000773"
"1-1000774","21-1000774"
"1-1000775","21-1000775"
"1-1000776","21-1000776"
"1-1000777","21-1000777"
"1-1000778","21-1000778"
"1-1000779","21-1000779"
"1-1000780","21-1000780"
"1-1000781","21-1000781"
"1-1000782","21-1000782"
"1-1000783","21-1000783"
"1-1000784","21-1000784"
"1-1000785","21-1000785"
"1-1000786","21-1000786"
"1-1000787","21-1000787"
"1-1000788","21-1000788"
"1-1000789","21-1000789"
"1-1000790","21-1000790"
"1-1000791","21-1000791"
"1-1000792","21-1000792"
"1-1000793","21-1000793"
"1-1000794","21-1000794"
"1-1000795","21-1000795"
"1-1000796","21-1000796"
"1-1000797","21-1000797"
"1-1000798","21-1000798"
"1-1000799","21-1000799"
"1-1000800","21-1000800"
"1-1000801","21-1000801"
"1-1000802","21-1000802"
"1-1000803","21-1000803"
"1-1000804","21-1000804"
"1-1000805","21-1000805"
"1-1000806","21-1000806"
"1-1000807","21-1000807"
"1-1000808","21-1000808"
"1-1000809","21-1000809"
"1-1000810","21-1000810"
"1-1000811","21-1000811"
"1-1000812","21-1000812"
"1-1000813","21-1000813"
"1-1000814","21-1000814"
"1-1000815","21-1000815"
"1-1000816","21-1000816"
"1-1000817","21-1000817"
"1-1000818","21-1000818"
"1-1000819","21-1000819"
"1-1000820","21-1000820"
"1-1000821","21-1000821"
"1-1000822","21-1000822"
"1-1000823","21-1000823"
"1-1000824","21-1000824"
"1-1000825","21-1000825"
"1-1000826","21-1000826"
"1-1000827","21-1000827"
"1-1000828","21-1000828"
"1-1000829","21-1000829"
"1-1000830","21-1000830"
"1-1000831","21-1000831"
"1-1000832","21-1000832"
"1-1000833","21-1000833"
"1-1000834","21-1000834"
"1-1000835","21-1000835"
"1-1000836","21-1000836"
"1-1000837","21-1000837"
"1-1000838","21-1000838"
"1-1000839","21-1000839"
"1-1000840","21-1000840"
